grn,substance,notifier,closure_date,outcome
1241,β-lactoglobulin produced by Aspergillus oryzae,Bon Vivant SAS,09/16/2025,no questions
1242,Short-chain fructooligosaccharides,BENEO GmbH,07/14/2025,no questions
1244,Lactiplantibacillus plantarum DSM 21380,NORDWISE BioTech OÜ,08/05/2025,no questions
1245,Lactiplantibacillus plantarum DSM 21379,NORDWISE BioTech OÜ,08/05/2025,no questions
890,Corn oil derived from distillers grains,Corn oil ONE,12/23/2020,withdrawn
930,Silk fibroin derived from Bombyx mori cocoons,"Cambridge Crops, Inc.",05/25/2021,withdrawn
939,Sunflower lecithin,Sternchemie GmbH & Co. KG,03/03/2021,no questions
959,Iron milk proteinate,Société des Produits Nestlé S.A.,03/17/2021,no questions
1023,Monosodium L-5-methyltetrahydrofolate,Merck & Cie,01/25/2022,withdrawn
1122,Canola concentrate,NapiFeryn BioTech Sp. z o. o.,07/25/2024,no questions
1163,A preparation containing two bacteriophages (phage) specific to Salmonella enterica,Cytophage Technologies inc.,05/28/2024,withdrawn
1161,Triacylglycerol lipase enzyme preparation produced by Candida cylindracea,"Meito Sangyo Co., Ltd.",09/24/2024,no questions
1170,Resistant dextrin from tapioca in powder or syrup form,"Icon Foods, Inc.",10/22/2024,no questions
1169,6'-sialyllactose sodium salt,"GeneChem, Inc.",10/07/2024,withdrawn
1168,Tigernuts flour,"Tigernut Traders, SL",08/06/2024,withdrawn
1166,Fava bean ( Vicia faba L.) protein hydrolysate,Nuritas,11/13/2024,no questions
1188,D-psicose,"Shandong Starlight So True Biological Technology Co., Ltd",11/19/2024,no questions
1187,Polygalacturonase enzyme preparation produced by Trichoderma reesei expressing a gene encoding polygalacturonase from Aspergillus luchuensis mut kawachii,"AB Enzymes, Inc.",02/28/2025,no questions
1184,Rebaudioside M from a modified strain of Escherichia coli BL21(DE3),"Sichuan Ingia Biosynthetic Co., Ltd.",10/23/2024,no questions
1176,Lacto- N -tetraose,FrieslandCampina Ingredients B.V.,09/24/2024,withdrawn
1174,Dry whole goat milk,The LittleOak Company,12/06/2024,no questions
1171,Collagen polypeptide produced by Escherichia coli K-12 S9188,"Geltor, Inc.",10/22/2024,no questions
1221,Heyndrickxia coagulans NRRL B-67744,"Microbial Discovery Group, LLC",06/09/2025,no questions
1182,Hydroxytyrosol,"Hangzhou Viablife Biotech Co, Ltd.",02/12/2025,no questions
1189,Dry whole goat milk,Bubs Australia Limited,09/24/2024,no questions
1112,"Limosilactobacillus reuteri strain ATCC PTA-126787 and L. reuteri strain ATCC PTA-126788, in combination, on a 1:1 ratio of colony forming unit (CFU) basis","BiomEdit, LLC",09/28/2023,no questions
1177,Bacillus coagulans Unique IS-2 spore preparation,"Unique Biotech Limited, India",07/05/2024,no questions
1181,Weizmannia coagulans LMG S-31876 spore preparation,Abode Biotec India Private Limited,07/25/2024,no questions
1191,Ergothioneine produced by Escherichia coli BL-21 (DE3) expressing ergothioneine synthases from Schizosaccharomyces pombe,"Shanghai EGT Synbio Group Co., LTD",01/30/2025,no questions
1192,Tannase enzyme preparation produced by Aspergillus oryzae,Mitsubishi Chemical Corporation,03/14/2025,no questions
1193,D-psicose,"Sichuan Ingia Biosynthetic Co., Ltd.",12/12/2024,no questions
1195,Chymosin enzyme preparation produced by Aspergillus niger expressing a gene encoding chymosin from Erinaceus europaeus,Chr. Hansen A/S,03/06/2025,no questions
1196,Triacylglycerol lipase enzyme preparation produced by Trichoderma reesei expressing a gene encoding an engineered triacylglycerol lipase from Thermomyces lanuginosus,AB Enzymes Inc.,03/03/2025,no questions
1197,Fructanase enzyme preparation produced by Trichoderma reesei AR-577 expressing the gene encoding fructanase from Lactobacillus crispatus,AB Enzymes Inc.,03/14/2025,no questions
1198,Inositol,"Sichuan Bohaoda Biological Technology Co., Ltd.",02/03/2025,no questions
1200,β-lactoglobulin produced by Komagataella phaffii strain VIPLA,Vivici B.V.,02/28/2025,no questions
1202,Soy leghemoglobin preparation from a strain of Komagataella phaffii,Impossible Foods Inc,03/07/2025,no questions
1211,Reduced minerals goat whey,Crossway Foods Limited,02/04/2025,no questions
1212,Liquid whole goat milk,Crossway Foods Limited,02/07/2025,no questions
1213,Goat milk lactose,Crossway Foods Limited,02/21/2025,no questions
1173,Invertase enzyme preparation produced by Trichoderma reesei expressing a gene for invertase from Aspergillus niger,AB Enzymes Inc.,08/15/2024,no questions
1027,Miracle fruit ( Synsepalum dulcificum ) powder,"Miracle Fruit Farm, LLC",12/22/2021,withdrawn
1164,Chemically synthesized analog of pediocin PA-1,Innodal and Quality Systems Solutions,08/07/2024,no questions
1204,Lacticaseibacillus casei Zhang,"Beijing Scitop Bio-tech Co., LTD",02/19/2025,no questions
1205,Lactiplantibacillus plantarum DR7,"Kaneka Americas Holding, Inc.",03/24/2025,no questions
1207,Brazzein preparation produced by Aspergillus oryzae 90402 expressing a gene encoding for brazzein from Pentadiplandra brazzeana,Nanjing Bestzyme Bio-Engineering Co. Ltd.,04/10/2025,no questions
1208,Lacto- N -triose II,"Shandong Henglu Biotechnology Co., Ltd.",04/29/2025,no questions
1209,Algal oil (≥35% docosahexaenoic acid) from Schizochytrium limacinum A2,Huve Nutraceuticals Ltd,05/07/2025,withdrawn
1194,Partially hydrolyzed eggshell membrane powder derived from chicken eggs,"ESM Technologies, LLC",02/04/2025,withdrawn
1214,Bacillus clausii UBBC-07 spore preparation,Unique Biotech Limited,05/07/2025,no questions
1215,Bacteriophage (phage) preparation specific to Listeria monocytogenes,FINK Tec GmbH,06/06/2025,no questions
1217,Algal oil (≥40% docosahexaenoic acid) from Aurantiochytrium limacinum CCAP A1,Huve Nutraceuticals Ltd,05/07/2025,withdrawn
1218,Bacillus subtilis NRRL 68054,Microbial Discovery Group LLC,04/29/2025,no questions
1219,Recombinant bovine lactoferrin isolate produced by Komagataella phaffii M020 expressing the gene encoding bovine lactoferrin,TurtleTree Inc.,05/07/2025,no questions
1222,Saccharomyces cerevisiae OYR-542,"Omega Yeast Labs, LLC",05/05/2025,no questions
1223,Sakura ( Prunus serrulata Lindl.) flower distillate,Suntory Global Spirits,06/03/2025,no questions
1224,Sakura ( Prunus serrulata Lindl.) flower extract,Suntory Global Spirits,06/03/2025,no questions
1225,Sakura ( Prunus speciosa ) leaf distillate,Suntory Global Spirits,06/03/2025,no questions
1230,Vanillin preparation produced by Escherichia coli BL21(DE3) SI-VAN1,"Sichuan Ingia Biosynthetic Co., Ltd.",06/11/2025,no questions
1231,Bacillus velezensis PTA-127359,"BIO-CAT Microbials, LLC",07/11/2025,no questions
1233,Sansho ( Zanthoxylum piperitum ) pepper distillate,Suntory Global Spirits,07/08/2025,no questions
1234,Sansho ( Zanthoxylum piperitum ) pepper extract,Suntory Global Spirits,07/14/2025,no questions
1247,β-Lactoglobulin produced by Kluyveromyces lactis CCTCC M20241460,"Shanghai Changing Biotechnology Co., Ltd.",09/19/2025,no questions
1248,Yeast biomass produced by Kluyveromyces marxianus CCTCC M 20211265,"Shanghai Changing Biotechnology Co., Ltd",09/23/2025,no questions
1249,Ovalbumin produced by Trichoderma reesei ATCC 13631,"Onego Bio, Inc.",09/16/2025,no questions
1246,Saccharomyces cerevisiae BY-1248,Berkeley Fermentation Science Inc.,09/22/2025,no questions
1243,Bacillus coagulans M2017813 spore preparation,"Thankcome Biological Science and Technology Co., Ltd.",08/21/2025,no questions
1239,Bifidobacterium animalis subsp. lactis PTA-126817,"Wecare Probiotics Co., Ltd.",06/11/2025,no questions
1238,2'-fucosyllactose,"Cataya Bio (Shanghai) Co., Ltd.",06/17/2025,no questions
1236,Algal oil (≥40% docosahexaenoic acid) from Aurantiochytrium limacinum H Sc-01,"Shaanxi Healthful Bioengineering Co., Ltd.",06/10/2025,no questions
1235,Bifidobacterium lactis CCTCC M 2014588,"Bioflag Co., Ltd",09/02/2025,no questions
1227,Korean red ginseng ( Panax ginseng C.A. Meyer) root extract,Korea Ginseng Corporation,08/21/2025,withdrawn
1210,Glucosyltransferase enzyme preparation produced by Bacillus subtilis expressing the gene encoding glucosyltransferase from Streptococcus salivarius,Danisco US Inc.,08/15/2025,no questions
1203,Rebaudioside M2 obtained by enzymatic treatment of steviol glycosides purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,Guilin Layn Natural Ingredients Corp.,02/12/2025,no questions
1201,Lipase enzyme preparation produced by Komagataella phaffii expressing a gene encoding lipase from Yarrowia lipolytica,Chr. Hansen A/S,03/10/2025,no questions
1199,Rhamnogalacturonan-I,G3P Inc.,02/28/2025,no questions
1186,"Fungal oil (≥38% arachidonic acid (ARA)) from Mortierella alpina ""FJRK-MA01""","Runke Bioengineering (Fujian) Co., Ltd.",02/04/2025,rejected
1185,"Algal oil (≥35% docosahexaenoic acid) from Schizochytrium sp. "" FJRK-SCH3""","Runke Bioengineering (Fujian) Co., Ltd.",03/14/2025,rejected
1178,Rebaudioside I obtained by enzymatic treatment of steviol glycosides purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside I),"Sichuan Ingia Biosynthetic Co., Ltd",08/16/2024,no questions
1141,L-α-glycerophosphorylcholine,"Shenyang Gold Jyouki Technology Co., Ltd",04/29/2024,withdrawn
1077,Oat polar lipid extract,Naturex,07/07/2023,withdrawn
1061,Deactivated alkaline serine protease produced by Bacillus licheniformis strain CICC 10266,Tanea Medical AB,01/26/2023,withdrawn
1047,Lipase enzyme preparation produced by Saccharomyces cerevisiae expressing a gene encoding a lipase from Fusarium oxysporum,Lallemand Inc.,05/12/2023,no questions
1252,"Saccharomyces cerevisiae ""BY-1568""",Berkeley Fermentation Science Inc.,09/23/2025,no questions
1232,Lacticaseibacillus paracasei DSM 28047,"SunWay Biotech Co., Ltd.",08/06/2025,no questions
1251,"Saccharomyces cerevisiae expressing a gene encoding a cysteine-thiol lyase from Staphylococcus hominis ( S. cerevisiae ""OYR-290"")","Omega Yeast Labs, LLC",09/23/2025,no questions
1237,β-glucanase enzyme preparation produced by Talaromyces versatilis,Erbslöh GmbH,09/22/2025,withdrawn
1226,Orange ( Citrus sinensis ) extract,BioActor B.V./Solabia Nutrition,06/09/2025,no questions
1216,Galacto-oligosaccharides,Saputo Dairy UK,04/10/2025,withdrawn
1155,1-methylcyclopropene complex,Fresh Inset S.A.,04/23/2024,no questions
239,Bakers yeast beta-glucan,"Biothera, Inc.",07/22/2008,no questions
302,"1,3-propanediol",DuPont Tate & Lyle BioProducts,03/05/2010,no questions
565,Fucoidan from Undaria pinnatifida,Marinova Pty. Ltd.,07/02/2015,no questions
1180,Cellobiose,SAVANNA Ingredients GmbH,09/09/2024,withdrawn
1259,Fungal oil (≥40% arachidonic acid (ARA)) from Mortierella alpina strain TKA-1,"ATK Biotech Co., Ltd.",01/07/2026,no questions
1264,Lacticaseibacillus rhamnosus CGMCC18639,"Beijing Scitop Bio-Tech Co., Ltd.",12/09/2025,no questions
1265,"Saccharomyces cerevisiae ""BY-1532""",Berkeley Fermentation Science Inc.,12/11/2025,no questions
1274,2'-Fucosyllactose,"Tianjin Hesheng Biotechnology Co., Ltd.",12/08/2025,no questions
1280,Pleurotus pulmonarius mycelia and Chlorella vulgaris microalgae,Koralo GmbH,,pending
1282,Rebaudioside M produced by enzymatic treatment of rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Zhucheng Haotian Pharm Co., Ltd.",01/12/2026,no questions
1277,Autoclaved Parabacteroides goldsteinii RV-01,"ReviveBio, Co.",01/22/2026,withdrawn
1165,"(R)-1,3-butanediol","Genomatica, Inc.",06/12/2024,withdrawn
1220,Mycelial biomass from Pleurotus pulmonarius,Mushlabs GmbH,08/15/2025,withdrawn
1260,Rebaudioside M produced by enzymatic treatment of steviol glycosides purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,PureCircle by Ingredion USA,11/18/2025,no questions
1261,2'-Fucosyllactose,"Suzhou Yixi Biotech Co., Ltd.",01/26/2026,no questions
1269,Monellin preparation produced by Komagataella phaffii CBS 150005 expressing a gene encoding for a modified monellin,Amai Proteins Ltd,02/04/2026,no questions
1103,Canola protein isolate,NapiFeryn BioTech Sp. z o. o.,11/22/2023,no questions
1147,Copper(II) ion,Copperprotek SPA,07/05/2024,no questions
909,Whey protein containing 41% alpha-lactalbumin,Arla Foods Ingredients Group P/S,09/08/2021,withdrawn
399,"Preparation of Bacillus coagulans strain GBI-30, 6086 spores","Ganeden Biotech, Inc.",07/31/2012,no questions
1255,Mycelial biomass of Fusarium compactum CGMCC 41312 (fungal protein),"MoreMeat (Guangzhou) Biotech Co., Ltd",11/18/2025,no questions
1288,Enzyme-modified steviol glycosides,CJ CheilJedang Corporation,02/17/2026,no questions
1270,L-ergothioneine produced by Escherichia coli K-12 MG1655 expressing enzymes from Neurospora crassa and Mycolicibacterium smegmatis MC2 155,"Gene III Biotechnology Co., Ltd.",01/22/2026,no questions
1285,Saccharomyces cerevisiae BY-927 expressing a gene encoding α-acetolactate decarboxylase enzyme from Acetobacter aceti,Berkeley Fermentation Science Inc.,03/09/2026,no questions
1271,Short-chain fructooligosaccharides,Tate and Lyle,03/18/2026,no questions
1275,6'-Sialyllactose sodium salt,"Cataya Bio (Shanghai) Co., Ltd.",03/20/2026,no questions
1287,Sucrose oligoesters,Mitsubishi Chemical Corporation,03/23/2026,no questions
1284,Recombinant bovine lactoferrin isolate produced by Komagataella phaffii Ppas_337 expressing the gene encoding bovine lactoferrin,All G Co Holdings Pty Limited,03/25/2026,no questions
1266,Wheat fiber extract from wheat ( Triticumaestivum ),Comet Biorefining Corporation,02/17/2026,no questions
1283,Bacillus coagulans BC99 spore preparation,WeCare Probiotics Co. Ltd.,03/18/2026,no questions
1256,Lemna leaf protein,Plantible Foods,02/05/2026,no questions
1276,Cellulase enzyme preparation produced by Trichoderma reesei expressing a gene encoding a cellulase from Aspergillus niger,AB Enzymes Inc.,04/08/2026,no questions
1278,Lactiplantibacillus plantarum CGMCC 6312,"Beijing Scitop Bio-Tech Co., Ltd.",03/31/2026,no questions
1279,Saccharomyces cerevisiae CCTCC M2025194,"Angel Yeast Co., Ltd.",03/23/2026,no questions
1291,Wattle ( Acacia longifolia ) seeds,LuckyLiquor LLC,,pending
1297,Enzyme-hydrolyzed brown rice protein,Nuritas,,pending
1301,Algal oil (≥45% docosahexaenoic acid from Schizochytrium sp. JDW-108),"NovoSana (Taicang) Co., Ltd.",,pending
1302,Fermented grape pomace,"Crush Dynamics, Inc",,pending
1304,Preparation containing at least three bacteriophages (phage) specific to Listeria spp.,SK8 Biotechnologies Inc.,,pending
934,Algal oil (≥35% docosahexanoic acid (DHA)) derived from Schizochytrium sp. strain CABIO-A-2,"CABIO Biotech (Wuhan) Co., Ltd.",07/20/2021,no questions
1228,β-casein produced by E. coli DSM 35048,Fermify GmbH,06/13/2025,withdrawn
1254,Bovine plasma protein preparation,Omeat Inc.,09/29/2025,withdrawn
1268,Mycelial biomass from Rhizomucor pusillus,The Protein Brewery B.V.,03/03/2026,withdrawn
1250,Alternansucrase enzyme preparation produced by Escherichia coli expressing the gene encoding alternansucrase from Leuconostoc mesenteroides,"Advanced Enzyme Technologies, Ltd.",09/29/2025,withdrawn
1253,Lycopene preparation produced by Saccharomyces cerevisiae JZL03,"Wuhan Hesheng Technology Co., Ltd.",07/21/2025,no questions
1257,2'-Fucosyllactose,Chr. Hansen A/S,04/16/2026,no questions
1258,Lacto-N-tetraose,Chr. Hansen A/S,04/16/2026,no questions
1262,2'-Fucosyllactose,"Zhuhai Long Health Biotechnology Co., Ltd.",04/08/2026,no questions
1263,Heyndrickxia coagulans PTA-1273661 spore preparation,"Jeneil Biotech, Inc.",12/09/2025,no questions
1272,Lacto- N -neotetraose,"Shenzhen Long Health Biotechnology Co., Ltd.",04/08/2026,no questions
1273,Lacto- N -tetraose,"Shenzhen Long Health Biotechnology Co., Ltd.",04/08/2026,no questions
1294,Rebaudioside M produced by enzymatic treatment of steviol glycosides purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,Arzeda Corporation,04/16/2026,no questions
1292,Citrus-derived compounded sweetener made with neohesperidin dihydrochalcone and gamma cyclodextrin,"HealthTech Bio Activies, S.L.U.",04/28/2026,no questions
1281,2'-Fucosyllactose,"CABIO Biotech (Wuhan) Co., Ltd.",05/08/2026,rejected
1308,β-glucan produced by Kluyveromyces marxianus CGMCC 26703,"Kluyveromyces Yeast Technology (Hainan) Co., Ltd.",,pending
1305,Brazzein preparation produced by Komagataella phaffii GDMCC 70101 expressing a gene encoding for brazzein from Pentadiplandra brazzeana,"Inner Mongolia Kingdomway Pharmaceutical Co., Ltd.",,pending
1315,Short-chain chondroitin sulfate oligosaccharides produced from enzymatic hydrolysis of chondroitin sulfate,"Nanjing Letop Biotechnology Co., Ltd.",,pending
1314,Bacillus pumilus SG154,Kerry Inc.,,pending
1313,Algal oil (≥35% docosahexaenoic acid) from Schizochytrium limacinum CCAP A2,Huve Nutraceuticals Ltd,,pending
1312,Recombinant αS1-casein from Bos taurus produced by Escherichia coli DSM 35603,NewMilkBuzz BV and Formo Foods GmbH,,pending
644,Non-fat dry goat milk and goat whey protein,Ausnutria B.V.,10/11/2016,no questions
993,L-carnitine-L-tartrate,Ausnutria B.V.,10/18/2021,no questions
1300,Zeaxanthin produced via fermentation using production strain Yarrowia lipolytica CGMCC 39021,"Enhe Aiju (Hangzhou) Science and Technology Co., Ltd.",05/15/2026,no questions
1303,Bifidobacterium animalis subsp. lactis CGMCC5470,"Beijing Scitop Bio-tech Co., LTD",05/11/2026,no questions
1306,Subtilisin enzyme preparation produced by Bacillus paralicheniformis,Kerry Ingredients & Flavours Ltd.,,pending
1311,L-theanine produced by Escherichia coli CICC 11189s,"Zhejiang Zhenyuan Biotech Co., Ltd",,pending
1307,Rebaudioside M produced by enzymatic treatment of steviol glycosides purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Shanghai Shenghe Zhizao Biotechnology Co., Ltd.",06/04/2026,no questions
1296,Erythritol produced through fermentation of glucose by Yarrowia lipolytica,"Shandong Starlight So True Biological Technology Co., Ltd",04/07/2026,no questions
1290,Glucose oxidase enzyme preparation produced by Komagataella phaffii expressing a gene encoding glucose oxidase from Aspergillus niger,Lallemand Inc.,05/06/2026,no questions
1299,3?-sialyllactose sodium salt produced via fermentation using production strain Escherichia coli SLIS109,"Synaura Biotechnology (Shanghai) Co., Ltd.",05/13/2026,no questions
1289,Protein-glutamine glutaminase enzyme preparation produced by Bacillus licheniformis expressing a gene encoding protein-glutamine glutaminase from Chryseobacterium viscerum,"Novozymes North America, Inc.",06/30/2026,no questions
1293,Brazzein preparation produced by Komagataella phaffii RA-b expressing a gene encoding for brazzein from Pentadiplandra brazzeana,"Sweegen, Inc.",06/23/2026,no questions
1295,Brazzein preparation produced by Komagataella phaffii GS115 expressing a gene encoding for brazzein from Pentadiplandra brazzeana,MicroFarmtory LLC,06/23/2026,no questions
1298,2'-fucosyllactose,"Beijing Zeno TechnologyDevelopment Co., Ltd.",06/23/2026,no questions
1229,Levilactobacillus brevis ATCC SD-7285,"International Flavors & Fragrances, Inc. / Danisco USA, Inc.",08/15/2025,no questions
1286,Brazzein preparation produced by Zea mays expressing a gene encoding for brazzein from Pentadiplandra brazzeana,GreenLab Inc.,06/30/2026,no questions
1309,D-psicose,"Henan Zhongda Hengyuan Biotechnology Stock Co., Ltd.",07/06/2026,no questions
1310,Rebaudioside M produced by enzymatic treatment of rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Hangzhou Levinthal Biotechnology Co., Ltd.",07/06/2026,no questions
1321,A powder prepared from the dried leaves and stems of the Geraldton waxflower ( Chamelaucium uncinatum ),LuckyLiquor LLC,,pending
1322,Transglutaminase enzyme preparation produced by Escherichia coli expressing a gene encoding transglutaminase from Streptomyces mobaraensis,Curie Co. Inc.,,pending
1323,D-psicose,"Shangdong Bailong Chuangyuan Bio-Tech Co., LTD",,pending
1324,Pongamia ( Millettia pinnata (L.)) bean oil,"Terviva, Inc.",,pending
1325,"L-ergothioneine produced by Escherichia coli SF4012 expressing enzymes encoded by the genes from E. coli BL21 (DE3), Leishmania infantum , Mycobacterium tuberculosis , Neurospora crassa , Trichoderma reesei , and Mycolicibacterium smegmatis","Abiochem Biotechnology Company, Ltd.",,pending
1316,Saccharomyces cerevisiae BY-1574 expressing a gene encoding an alcohol-O-acyltransferase enzyme from Cucumis melo var. Cantalupensis,Berkeley Fermentation Science Inc.,,pending
1318,Enzyme-modified steviol glycosides,"Delytose (Shanghai) Biotech. Co., Ltd.",,pending
1319,Thaumatin II preparation produced by Komagataella phaffii P-THM-354,"Oobli, Inc.",,pending
1320,Thaumatin II,Nomad Bioscience GmbH,,pending
1317,Bifidobacterium animalis subsp. lactis CGMCC18610,"Beijing Scitop Bio-Tech Co., LTD",,pending
1326,5-D-keto-fructose,Fooditive B.V.,,pending
1327,Bifidobacterium breve GDMCC 62945,"Jiangsu New-Bio Biotechnology Co., LTD",,pending
1328,β-carotene produced by Yarrowia lipolytica CGMCC No. 33926 expressing genes from Mucor circinelloides and Y. lipolytica,"Shandong Weiyan Biotechnology Co., Ltd.",,pending
1329,Lactase enzyme preparation produced by Aspergillus oryzae,Advanced Enzyme Technologies Ltd.,,pending
1330,Mycodulcein preparation produced by Komagataella phaffii DSM 35637 expressing a gene encoding for mycodulcein from Mattirolomyces terfezioides,"MycoTechnology, Inc.",,pending
1331,Phospholipase A1 enzyme preparation produced by Fusarium commune,DSM Food Specialties B.V.,,pending
1332,Chymosin enzyme preparation produced by Kluyveromyces lactis expressing a gene encoding chymosin from Bos taurus,DSM Food Specialties B.V.,,pending
1333,Maize cob extract,Pfeifer & Langen UK Limited,,pending
1334,Aggregated bovine plasma protein,"Omeat, Inc.",,pending
1335,Maltogenic amylase enzyme preparation produced by Escherichia coli expressing a gene encoding maltogenic amylase from Geobacillus stearothermophilus,Advanced Enzyme Technologies Ltd.,,pending
1336,Lactiplantibacillus plantarum CGMCC 13008,Synbio Tech Inc.,,pending
237,Alkyl polyglycosides,Cognis Corporation,10/14/2008,no questions
609,Rice protein,,06/06/2016,no questions
1267,Sunflower lecithin,Shankar Nutricon,02/17/2026,no questions
